,track_id,track_name,artist_name,year,popularity,artwork_url,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_url,language,Cluster
0,5bQTuAxaBADfWk4vD8pCa5,"Adiye (From ""Kadal"")","A.R. Rahman, Sid Sriram",2019,15,https://i.scdn.co/image/ab67616d0000b273542d5b8e2afd9c9035b61f6d,Rahman Rewind: Absolute Hits,0.411,0.387,301973.0,0.519,0.0,2.0,0.0843,-5.684,1.0,0.079,45.989,4.0,0.166,https://open.spotify.com/track/5bQTuAxaBADfWk4vD8pCa5,Unknown,0
1,4LrrOBgHGJNvRfmq2FRFBM,"Milne Hai Mujhse Aayi (From ""Aashiqui 2"")",Arijit Singh,2017,21,https://i.scdn.co/image/ab67616d0000b273c8d81ccb980b57d373e91f62,Best Of Shraddha Kapoor,0.0357,0.515,295798.0,0.707,0.0,11.0,0.134,-5.467,0.0,0.0426,143.752,4.0,0.304,https://open.spotify.com/track/4LrrOBgHGJNvRfmq2FRFBM,Hindi,4
2,1P4CbDljM2EGHjaElwUwOa,The Vinciguerra Affair,Daniel Pemberton,2015,1,https://i.scdn.co/image/ab67616d0000b2738f5aee0d5d71d15fac0e23fe,The Man from U.N.C.L.E. (Original Motion Picture Soundtrack) [Deluxe Version],0.31,0.772,202240.0,0.442,0.803,2.0,0.089,-13.234,0.0,0.032,120.008,4.0,0.475,https://open.spotify.com/track/1P4CbDljM2EGHjaElwUwOa,English,4
3,6sFq4k5MEWPafTW7GolQzP,Aadhi Bhagavan,"Ilaiyaraaja, Sriram Parthasarathy",2010,9,https://i.scdn.co/image/ab67616d0000b2735934ade606ee4eab808e8774,Baba Pugazh Maalai,0.132,0.67,324600.0,0.562,0.0,1.0,0.298,-5.47,1.0,0.0267,91.008,4.0,0.346,https://open.spotify.com/track/6sFq4k5MEWPafTW7GolQzP,Tamil,4
4,4wwi2d5XsvVDTA0rbTbOpQ,Beautiful,Amit Trivedi,2022,42,https://i.scdn.co/image/ab67616d0000b2739cfaeaa6815c4eb104301249,Goodbye (Original Motion Picture Soundtrack),0.514,0.743,171375.0,0.567,0.000221,2.0,0.115,-7.922,1.0,0.032,109.98,4.0,0.512,https://open.spotify.com/track/4wwi2d5XsvVDTA0rbTbOpQ,Hindi,0
5,4KxSmxwDVvd6JuYl3gb7sq,"Dilliwaali Girlfriend (From ""Yeh Jawaani Hai Deewani"")","Arijit Singh, Sunidhi Chauhan",2016,18,https://i.scdn.co/image/ab67616d0000b273459c4f1a89716e40ed5ff12b,Best Of Arijit Singh,0.0811,0.688,260552.0,0.941,2.89e-06,6.0,0.0697,-5.23,0.0,0.0583,138.047,4.0,0.909,https://open.spotify.com/track/4KxSmxwDVvd6JuYl3gb7sq,Hindi,4
6,1egyBLu4HGnbdGYL2XYkzn,Zara Sun Balliye,"Krishh, Kartikeya Tiwari",2015,0,https://i.scdn.co/image/ab67616d0000b2737cc6799f87f5cef2afc9abac,Zara Sun Balliye,0.0695,0.778,190603.0,0.922,1.2e-05,7.0,0.333,-3.243,1.0,0.109,99.982,4.0,0.7,https://open.spotify.com/track/1egyBLu4HGnbdGYL2XYkzn,Unknown,4
7,4mMUxt1An6pJ1m9mo1U0Ey,"Katharaayadam Reprise (From ""Gang Leader"")",Anirudh Ravichander,2020,34,https://i.scdn.co/image/ab67616d0000b273f149f50d7fefe808667a0262,"Katharaayadam Reprise (From ""Gang Leader"")",0.0333,0.592,182143.0,0.598,1.83e-06,3.0,0.115,-8.05,0.0,0.0646,139.892,4.0,0.138,https://open.spotify.com/track/4mMUxt1An6pJ1m9mo1U0Ey,Tamil,4
8,5DqKJUfyBdGQThbtOmI0z1,Anti-Hero,Taylor Swift,2023,1,https://i.scdn.co/image/ab67616d0000b2735f0fdf9c5e71fed6a83df340,Best Of 2022,0.121,0.633,200690.0,0.648,2.62e-06,4.0,0.161,-6.645,1.0,0.062,96.888,4.0,0.49,https://open.spotify.com/track/5DqKJUfyBdGQThbtOmI0z1,English,4
9,4JFGMDPyaPjk9OIoxFFOj5,Aum Bhadram Karnebhi (with Narration),Vijay Prakash,2009,0,https://i.scdn.co/image/ab67616d0000b2736f6fd9899a83204ee76cbed0,Manah Shanti,0.685,0.297,466107.0,0.178,0.00104,2.0,0.102,-14.751,1.0,0.0376,150.601,4.0,0.034,https://open.spotify.com/track/4JFGMDPyaPjk9OIoxFFOj5,Unknown,0
10,01CzCV46Nsgbs8XE5aIQvu,Kanmaniye Kanmaniye,"Ilaiyaraaja, Vaali, S. P. Balasubrahmanyam, Rohini",1995,0,https://i.scdn.co/image/ab67616d0000b273a35480f5b5f9df479622ee0e,Chinna Vathiyar (Original Motion Picture Soundtrack),0.427,0.918,363027.0,0.493,0.0,5.0,0.0976,-10.528,0.0,0.0828,104.887,3.0,0.74,https://open.spotify.com/track/01CzCV46Nsgbs8XE5aIQvu,Tamil,4
11,2nRcyMTTrkCCURw6W30Bbv,Naan Unnai Parkkum Neram,"Vijay Antony, Maya",2008,14,https://i.scdn.co/image/ab67616d0000b2736fb0e941d2b5a5a20ca56bc8,Rasikkum Seemane (Original Motion Picture Soundtrack),0.591,0.695,300640.0,0.603,2.08e-05,2.0,0.223,-7.665,1.0,0.0403,85.864,4.0,0.377,https://open.spotify.com/track/2nRcyMTTrkCCURw6W30Bbv,Tamil,0
12,2cFudGOAMBOmD0VoJ4Aq2G,Kanasugala,"Shreya Ghoshal, Mano Murthy",2022,2,https://i.scdn.co/image/ab67616d0000b273a81a49ed60af3224de251c14,Bond Ravi,0.776,0.43,241588.0,0.484,0.000214,7.0,0.275,-9.63,0.0,0.0312,110.041,4.0,0.271,https://open.spotify.com/track/2cFudGOAMBOmD0VoJ4Aq2G,Unknown,0
13,02tvx4Nx2qElBrYCJOudN5,Vayakatti Vayathakatti,Ilaiyaraaja,1988,2,https://i.scdn.co/image/ab67616d0000b273dd9103bbc16965727e10e3bf,Solla Thudikuthu Manasu (Original Motion Picture Soundtrack),0.826,0.604,274853.0,0.391,0.0566,7.0,0.0965,-14.451,1.0,0.0474,84.088,4.0,0.723,https://open.spotify.com/track/02tvx4Nx2qElBrYCJOudN5,Tamil,0
14,37RZkj6xeqRej6mTTDmjjs,"O Soniye Reloaded - From ""Titoo M.B.A.""","Arijit Singh, Priyanka Pripri, Arjuna Harjai, Ramji Gulati",2014,12,https://i.scdn.co/image/ab67616d0000b273c8d6e27b89238d17695b7f7e,"O Soniye Reloaded (From ""Titoo M.B.A."")",0.331,0.32,250435.0,0.75,0.0,5.0,0.121,-5.587,0.0,0.0756,91.203,4.0,0.214,https://open.spotify.com/track/37RZkj6xeqRej6mTTDmjjs,Hindi,0
15,3oN6sr8V0yQzPASjFmVpzE,Keep Me Dreaming,Bibi,2019,0,https://i.scdn.co/image/ab67616d0000b2736112119d933b084f0a04079b,From Bibi with Love,0.184,0.737,163052.0,0.533,0.0,9.0,0.236,-8.519,0.0,0.0346,125.904,4.0,0.605,https://open.spotify.com/track/3oN6sr8V0yQzPASjFmVpzE,Korean,4
16,0HxH5F6lBLihW98HmIdQFk,Uptown Girl,Billy Joel,2024,0,https://i.scdn.co/image/ab67616d0000b273960f86a490c6e79ab06543a9,Holiday Vibes,0.0173,0.692,195693.0,0.889,0.0,6.0,0.566,-4.991,0.0,0.0442,129.007,4.0,0.8,https://open.spotify.com/track/0HxH5F6lBLihW98HmIdQFk,English,2
17,1sBzR6GONfd4aqkneV3Uvc,Kutti Nalla Kutti,"Ilaiyaraaja, Arunmozhi",1999,0,https://i.scdn.co/image/ab67616d0000b273ba3adc213f681d4015dd0c8b,Annan (Original Motion Picture Soundtrack),0.0729,0.788,303151.0,0.68,0.0,9.0,0.217,-12.323,0.0,0.0963,97.537,3.0,0.957,https://open.spotify.com/track/1sBzR6GONfd4aqkneV3Uvc,Tamil,4
18,0Jpg6wxnzZknoAE5To5cQR,Rock N Soul,Infinite,2010,0,https://i.scdn.co/image/ab67616d0000b2731e3261af7173f891f32c878d,Rock N Soul - Fiends II Fans w. Dj Envy,0.424,0.412,147070.0,0.823,0.0,11.0,0.343,-5.983,1.0,0.29,104.696,5.0,0.81,https://open.spotify.com/track/0Jpg6wxnzZknoAE5To5cQR,Korean,4
19,3i8Bpoj3JFb1i0Bj4CCiOM,The Bloody Hundredth,Blake Neely,2024,25,https://i.scdn.co/image/ab67616d0000b273945c393193f4d1d29a631829,Masters of the Air (Apple TV+ Original Series Soundtrack),0.339,0.231,203427.0,0.317,0.822,8.0,0.129,-14.397,1.0,0.0344,130.15,3.0,0.0386,https://open.spotify.com/track/3i8Bpoj3JFb1i0Bj4CCiOM,English,3
20,3pSsryHh6gsturXR0DCxYz,I Was Never There,"The Weeknd, Gesaffelstein",2022,24,https://i.scdn.co/image/ab67616d0000b273012ece01cebe007086c5a274,Top Trending Hits Vol. 6,0.14,0.323,241067.0,0.737,0.000162,10.0,0.163,-4.008,1.0,0.0335,112.923,4.0,0.156,https://open.spotify.com/track/3pSsryHh6gsturXR0DCxYz,English,0
21,7ebJENlH21Zh9fIaZh9u3m,Kannai Padithen,"Shreya Ghoshal, Sriram Parthasarathy",2011,7,https://i.scdn.co/image/ab67616d0000b273cea3353439b423dd76730895,Ponnar Shankar,0.509,0.764,367752.0,0.588,0.747,0.0,0.0999,-10.215,0.0,0.0359,108.011,4.0,0.651,https://open.spotify.com/track/7ebJENlH21Zh9fIaZh9u3m,Unknown,4
22,3IVeNedWAjrLjm9TH1oT4I,Cracking The Chrysanthemums Cypher,Daniel Pemberton,2020,26,https://i.scdn.co/image/ab67616d0000b27388aa2d608f517321a80c42b6,Enola Holmes (Music from the Netflix Film),0.816,0.491,155667.0,0.22,0.863,2.0,0.0665,-16.148,0.0,0.0344,102.09,4.0,0.456,https://open.spotify.com/track/3IVeNedWAjrLjm9TH1oT4I,English,3
23,1ELX45HKBdaHKPllGZlPRN,Kadal Kirukkan,"Deva, Srikanth Deva",2003,3,https://i.scdn.co/image/ab67616d0000b273130c0b15371227a167d388ea,Kaadhal Kirukkan (Original Motion Picture Soundtrack),0.00125,0.747,97933.0,0.985,0.448,1.0,0.0759,-7.413,1.0,0.0845,139.878,4.0,0.949,https://open.spotify.com/track/1ELX45HKBdaHKPllGZlPRN,Tamil,4
24,4TMn7Hpg7wofni3Imi2tUG,Bedtime Stories,Ramin Djawadi,2013,0,https://i.scdn.co/image/ab67616d0000b2731d26e9af09b32c28c1bc0f3c,Le Manoir Magique (Bande originale du film d'animation),0.976,0.197,81614.0,0.0041,0.388,5.0,0.139,-32.504,1.0,0.0442,78.081,4.0,0.178,https://open.spotify.com/track/4TMn7Hpg7wofni3Imi2tUG,English,3
25,6ncRB83wAOem83cw3GGDu2,"Vaadi Pulla Vaadi - From ""Meesaya Murukku""",Hiphop Tamizha,2019,0,https://i.scdn.co/image/ab67616d0000b2732d070378af9af4d8d762bda6,"Big Hits, Vol. 2",0.375,0.472,246726.0,0.937,0.000101,9.0,0.325,-5.464,1.0,0.0639,179.999,4.0,0.324,https://open.spotify.com/track/6ncRB83wAOem83cw3GGDu2,Tamil,4
26,10pOIMUtVpYr636Xfb0F8S,"Chittu Parakkuthu (From ""Nilave Mugam Kaattu"")","Shankar Mahadevan, Sujatha",2013,0,https://i.scdn.co/image/ab67616d0000b273227dfb59180323305147cfda,Best of Karthik,0.61,0.633,303517.0,0.602,0.00203,5.0,0.0636,-9.744,0.0,0.0517,111.197,4.0,0.856,https://open.spotify.com/track/10pOIMUtVpYr636Xfb0F8S,Unknown,0
27,51uIXV3KmbxyLwUOxuk19q,Tell You,Treasure,2020,0,https://i.scdn.co/image/ab67616d0000b273d0afc13c8bdade36f03bc6af,Nostalgia: The Prelude,0.0686,0.299,218182.0,0.284,0.000804,5.0,0.0875,-14.929,1.0,0.0341,185.546,3.0,0.153,https://open.spotify.com/track/51uIXV3KmbxyLwUOxuk19q,Unknown,0
28,6rbS9ORl1Htwg0wxNNOugl,Drama,aespa,2023,11,https://i.scdn.co/image/ab67616d0000b2736803e08a8c172f5bc039283d,Pop 2024,0.164,0.644,214973.0,0.872,0.0,6.0,0.363,-1.54,0.0,0.0417,131.016,4.0,0.378,https://open.spotify.com/track/6rbS9ORl1Htwg0wxNNOugl,Korean,4
29,2T1hoM6D61wwOS883q1pGn,Machuva Eri,Shankar Mahadevan,2010,21,https://i.scdn.co/image/ab67616d0000b273e830a5156b742db80a9a5e88,Best Actor (Original Motion Picture Soundtrack),0.116,0.698,250548.0,0.607,0.0,5.0,0.0804,-6.062,0.0,0.0772,105.04,4.0,0.949,https://open.spotify.com/track/2T1hoM6D61wwOS883q1pGn,Unknown,4
